-1,-1,-1,-0.38885,-0.071321,-0.99571,-0.99571,-0.85473,0.022074,-0.94115
-1,-1,-0.8,-0.34199,-0.20467,-0.85016,-0.92772,-0.70974,0.023376,-0.71613
-1,-1,-0.6,-0.33994,-0.32647,-0.90726,-0.94984,-0.85882,0.058831,-0.41968
-1,-1,-0.4,-0.44159,-0.48644,-0.30099,-0.64851,-0.9527,0.077296,-0.54842
-1,-1,-0.2,-0.42373,-0.48515,0.8,0.034984,-0.85698,0.056792,-0.46052
-1,-1,0,-0.40815,-0.45646,0.94851,0.28449,-0.74355,0.018615,-0.57968
-1,-1,0.2,-0.42252,-0.44617,0.94257,0.31716,-0.75685,0.012302,-0.71997
-1,-1,0.4,-0.4284,-0.46251,0.92409,0.37789,-0.89591,0.019721,-0.80237
-1,-1,0.6,-0.44216,-0.46721,0.8561,-0.022772,-0.8604,0.046132,-0.89502
-1,-1,0.8,-0.40931,-0.40449,-0.5769,-0.86601,-0.83468,0.0594,-0.9608
-1,-1,1,-0.24235,-0.074967,-1,-1,-0.79558,0.071606,-0.98611
-1,-0.93333,-1,-0.29509,-0.10928,-0.99571,-0.99571,-0.79213,0.062313,-0.94643
-1,-0.93333,-0.8,-0.26243,-0.20454,-0.86106,-0.92739,-0.80096,0.078183,-0.6488
-1,-0.93333,-0.6,-0.19684,-0.34221,0.24026,-0.44554,-0.90689,0.084291,-0.44503
-1,-0.93333,-0.4,-0.16409,-0.41231,-0.82541,-0.91485,-0.94648,0.059031,-0.18047
-1,-0.93333,-0.2,-0.11431,-0.39947,-0.96337,-0.96733,-0.90248,-0.00057802,-0.084621
-1,-0.93333,0,-0.094783,-0.43743,-0.9802,-0.9802,-0.94903,-0.05564,-0.082257
-1,-0.93333,0.2,-0.093912,-0.36497,-0.9802,-0.9802,-0.83606,-0.081524,-0.17662
-1,-0.93333,0.4,-0.07504,-0.35407,-0.9802,-0.9802,-0.89817,-0.098669,-0.37695
